id_image,name_recipe
9aea00fa-d18d-4f1b-81ae-d2b95ff32a36,Puré de coliflor
337f617f-427f-4264-8747-1fe40f093d09,Waffles (o gofres) keto de queso y jalapeño
217f8d2a-23c2-401a-8c26-c1ec44a9ea8b,Desayuno de hamburguesa de pavo alta en proteínas
07270fae-4f9d-45b1-ba4c-81c22a4d2a96,Mayonesa casera
9648b15a-2976-45a5-854c-f7c7ef7a1507,Mantequilla de huevo
e55839ee-ba60-44e8-be63-1c11ce6e61a2,Sándwiches de ensalada
6a09b2c1-e508-4aa8-b475-0c519cfa674f,Aceite de oliva saborizado
373e9d3e-1fcc-4873-b9db-bbfefc416268,Ojos de mozzarella
583bfc66-3d11-4e2f-9ad5-6e127035dc8a,Ensalada keto de queso de cabra con mantequilla
f7041c00-b21b-4c8a-add3-da630a51c174,Sopa de aguacate con camarones y chips de ajo
481aa268-c0d4-4dab-87a3-46827b48e0d3,Ensalada saganaki low carb con salsa de menta
bc81d2b4-ebe9-4d44-b8b3-0c3093a8e692,Ensalada de coliflor keto
cffece9c-5318-4779-85de-af1ba245a352,Croquetas keto de jamón
958e5ac8-634c-476f-be62-6764c86141d3,Coliflor al horno baja en carbos con parmesano
6999959c-9374-4839-ae85-ad507d1f60b0,Ensalada baja en carbos de calabacín
ee01a142-f2d8-48d1-8e54-aea542761f16,Puré coliflor con bacon y queso
96b80e5c-d48b-4e19-8c97-cbecd8684537,Caprichos de turrón bajo en carbohidratos
c7766ecc-70c4-4b52-bfce-885161886e1e,Muffin keto de chocolate en taza
d8599345-d925-49f2-9802-ff081f9e5993,Alfajores cetogénicos
4f866e2f-e144-4a44-b05d-397278f3c892,Tabla de quesos low-carb
02298cc1-9d23-4c13-8c24-4940355d2f6d,Tarta de chocolate y mantequilla de cacahuete
98307f10-e2b7-4ead-86fb-22df3a8d18fd,Aperitivo keto de salmón ahumado
fb0a7746-3eb3-4e39-b31c-83b1302ef696,Espárragos envueltos en jamón curado con queso de cabra
910ae160-2762-4300-a7cf-1bd18543a089,Muffins de huevo keto
1cc8b0f7-597c-497e-8bad-2d7751c2d266,Huevos cupcakes keto para llevar
f91a57de-088d-4e99-bb38-72b3a229da81,Salchichas al horno con verduras low carb
2ea0bd4e-f037-40eb-a233-70d2b5850636,Ensalada de brócoli con eneldo fresco
77ee99ae-9e80-40f7-a1be-9338e9a26bd0,Mousse de chocolate baja en carbohidratos
675542e8-adef-4dc1-a219-265299899478,Pastel de chocolate fundido bajo en carbos
6261da39-25f3-4d83-bf45-a6ad6ed855dd,Torta de chocolate low carb con huevitos de Pascua
30f05a8f-3b56-4f83-b48d-ca75ee1161c1,Crema keto de mantequilla
8694e2c6-70fd-4596-8a6e-b3374b4fe3c0,Turrón keto
903f22e2-c2af-4d5d-85d5-018e3bc3b0a3,Postre de mascarpone al horno y arándanos
0783af0f-464d-4b24-9263-3b0d3cb6a43e,Brownie de mantequilla de cacahuete alto en proteína y low-carb
1c113a7f-c719-45dc-a2ef-de0bc87f07a1,Revuelto de chocolate low-carb con bayas y crema
9a5f1694-ef1b-4410-b9fa-d9aa6d921f85,Pudín de chocolate low-carb con frambuesas
5e7a5c2d-e43a-4118-acf4-cd56bbbab676,Postre de chocolate con frambuesas y ralladura de naranja
3e38a77f-08ac-4089-bea4-41abf9b7ab30,Clafoutis low carb de frambuesas
9d4a3fdb-7b4c-44ba-91a7-3aadddb42ac8,Alioli rápido
6a3c7886-b7ba-4202-af84-1a1bb59ff78d,Tortilla española low-carb
83fd660c-b65d-4694-8520-ed63ecba96f0,Salpicón de pulpo a la portuguesa
1820dcd5-3b9d-4ba1-b8b3-2c85342e4aa5,Pollo frito con brócoli keto
fb792260-e7d7-498a-ac32-104f6f40f8c7,Queso frito con berenjena a la mantequilla
f5e47afa-9b9a-47a0-a1bb-acf4e31e5450,Tarta de Santiago keto
b5859ca7-a615-455a-b440-6baa5198ac17,Postre de coco y chocolate
91019abd-0466-4650-afbb-2d30581772cb,Tim tams de chocolate low-carb
028363ac-f6b8-41f8-a8ac-32971852fc87,Rollitos de canela keto
4c48ba0a-faf3-4828-b997-66e8b89893b5,Natillas keto de vainilla sin lácteos
39dfb340-841c-42be-b09a-7914f000ba59,Pastel de chocolate low-carb
4436d01f-78dc-470c-a18c-1531a8d82f3c,Salmón con brócoli y mayonesa de limón
3f62eb2c-e6d2-457c-b2bf-2ea3e010df9a,Carne asada con ensalada de col
